,Player,Pos,BasePos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
0,Mahmoud Abdul-Rauf,PG,PG,31.0,VAN,41.0,486.0,16.7,0.514,0.057,0.118,1.2,4.7,2.9,32.7,1.0,0.1,9.1,26.8,0.0,0.7,0.0,0.7,0.07,1.1,-2.1,-1.0,0.1
1,Tariq Abdul-Wahad,SG,SG,26.0,DEN,29.0,420.0,5.8,0.438,0.09,0.324,3.6,11.8,7.6,8.1,1.7,2.1,21.1,17.1,0.0,-0.7,0.3,-0.4,-0.049,-5.6,-0.3,-5.8,-0.4
2,Shareef Abdur-Rahim,SF,SF,24.0,VAN,81.0,3241.0,19.1,0.549,0.05,0.415,6.2,19.6,13.0,14.3,1.5,1.6,13.2,24.6,0.0,5.6,2.9,8.5,0.126,1.7,0.1,1.8,3.1
3,Cory Alexander,PG,PG,27.0,ORL,26.0,227.0,6.3,0.407,0.286,0.321,0.0,12.5,6.1,23.5,3.6,0.0,28.1,17.3,0.0,-0.5,0.3,-0.1,-0.031,-7.2,1.2,-6.0,-0.2
4,Courtney Alexander,PG,PG,23.0,TOT,65.0,1382.0,11.6,0.484,0.08,0.262,3.5,8.4,5.9,8.0,1.7,0.3,10.5,23.2,0.0,0.3,0.5,0.8,0.027,-2.4,-1.9,-4.3,-0.8
5,Courtney Alexander,PG,PG,23.0,DAL,38.0,472.0,6.8,0.404,0.056,0.253,4.9,9.9,7.5,6.9,1.7,0.5,9.6,21.1,0.0,-0.5,0.4,-0.1,-0.013,-5.5,-0.8,-6.2,-0.5
6,Courtney Alexander,PG,PG,23.0,WAS,27.0,910.0,14.2,0.519,0.091,0.266,2.8,7.6,5.1,8.6,1.7,0.2,10.9,24.3,0.0,0.9,0.1,0.9,0.048,-0.8,-2.5,-3.3,-0.3
7,Ray Allen*,SG,SG,25.0,MIL,82.0,3129.0,22.9,0.61,0.357,0.299,3.7,11.8,7.8,20.4,2.1,0.5,12.1,24.4,0.0,11.5,2.2,13.7,0.211,5.7,-0.3,5.5,5.9
8,Rafer Alston,PG,PG,24.0,MIL,37.0,288.0,12.1,0.429,0.357,0.155,1.6,10.6,6.1,34.6,2.4,0.0,18.2,17.2,0.0,0.1,0.2,0.3,0.055,-1.6,-0.5,-2.1,0.0
9,John Amaechi,C,C,30.0,ORL,82.0,1710.0,8.7,0.455,0.012,0.471,4.9,12.7,8.7,7.0,0.8,1.2,14.8,21.7,0.0,-1.3,1.4,0.0,0.001,-4.3,-1.8,-6.1,-1.7
10,Derek Anderson,SG,SG,26.0,SAS,82.0,2859.0,17.1,0.542,0.255,0.405,3.1,10.9,7.2,18.1,2.2,0.3,12.4,21.9,0.0,5.6,4.3,9.9,0.166,1.2,1.2,2.4,3.2
11,Kenny Anderson,PG,PG,30.0,BOS,33.0,849.0,12.2,0.476,0.145,0.313,2.1,8.2,5.0,26.5,2.7,0.2,16.8,16.6,0.0,0.4,0.7,1.1,0.063,-1.9,-0.1,-2.0,0.0
12,Nick Anderson,SG,SG,33.0,SAC,21.0,169.0,6.4,0.333,0.684,0.0,2.0,13.7,8.0,11.0,3.0,1.6,10.9,16.7,0.0,-0.3,0.3,0.0,-0.011,-4.6,1.4,-3.2,-0.1
13,Shandon Anderson,SG,SG,27.0,HOU,82.0,2396.0,11.9,0.528,0.288,0.319,3.6,12.3,8.0,12.5,1.8,1.2,16.3,15.4,0.0,1.9,2.0,3.9,0.078,-1.1,0.7,-0.4,0.9
14,Greg Anthony,PG,PG,33.0,POR,58.0,856.0,12.0,0.525,0.628,0.138,3.0,5.4,4.3,14.8,2.5,0.3,13.8,16.9,0.0,0.9,0.7,1.6,0.09,0.0,0.1,0.1,0.5
15,Darrell Armstrong,PG,PG,32.0,ORL,75.0,2767.0,18.6,0.535,0.402,0.249,3.7,10.2,6.9,31.3,2.5,0.3,15.2,21.0,0.0,5.8,2.9,8.7,0.151,3.2,0.1,3.3,3.6
16,Chucky Atkins,PG,PG,26.0,DET,81.0,2363.0,12.2,0.481,0.356,0.137,1.2,6.7,3.9,24.3,1.4,0.1,12.9,21.2,0.0,1.2,1.6,2.8,0.057,-0.6,-1.0,-1.6,0.3
17,Stacey Augmon,SG,SG,32.0,POR,66.0,1182.0,12.3,0.511,0.015,0.327,6.3,9.7,8.0,12.7,2.2,1.3,13.6,13.9,0.0,1.3,1.2,2.5,0.102,-1.1,1.3,0.2,0.7
18,Isaac Austin,C,C,31.0,VAN,52.0,845.0,8.3,0.393,0.089,0.148,6.8,23.1,15.0,11.2,1.2,1.9,15.8,18.5,0.0,-1.3,0.9,-0.5,-0.026,-4.4,0.1,-4.3,-0.5
19,William Avery,PG,PG,21.0,MIN,55.0,463.0,9.0,0.482,0.41,0.25,1.2,6.0,3.6,24.0,1.5,0.6,22.0,20.0,0.0,-0.2,0.2,0.0,-0.003,-2.6,-2.0,-4.6,-0.3
20,Dalibor Bagaric,C,C,20.0,CHI,35.0,259.0,3.3,0.304,0.015,0.431,9.7,16.2,12.8,6.2,1.9,4.6,21.4,17.6,0.0,-0.9,0.2,-0.7,-0.121,-8.9,-1.2,-10.0,-0.5
21,Vin Baker,PF,PF,29.0,SEA,76.0,2129.0,13.0,0.481,0.019,0.391,9.7,13.5,11.6,7.0,0.9,2.5,14.1,23.8,0.0,0.6,1.2,1.8,0.04,-2.4,-1.8,-4.2,-1.2
23,Erick Barkley,PG,PG,22.0,POR,8.0,38.0,10.3,0.432,0.364,0.0,0.0,9.1,4.7,28.8,2.8,0.0,18.5,33.0,0.0,-0.1,0.0,-0.1,-0.075,-4.6,-3.2,-7.7,-0.1
24,Dana Barros,PG,PG,33.0,DET,60.0,1079.0,14.3,0.534,0.255,0.194,0.6,8.9,4.7,18.0,1.4,0.1,11.8,20.4,0.0,1.4,0.8,2.3,0.101,0.1,-0.4,-0.3,0.5
25,Brent Barry,SG,SG,29.0,SEA,67.0,1778.0,16.6,0.66,0.571,0.257,2.1,11.4,6.8,19.4,2.4,0.6,16.2,13.5,0.0,4.6,1.2,5.8,0.157,2.3,0.9,3.3,2.4
