,Player,Pos,BasePos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Alaa Abdelnaby,PF,PF,24.0,TOT,75.0,52.0,1311.0,245.0,473.0,0.518,0.0,1.0,0.0,245.0,472.0,0.519,0.518,88.0,116.0,0.759,126.0,211.0,337.0,27.0,25.0,26.0,97.0,189.0,578.0
1,Alaa Abdelnaby,PF,PF,24.0,MIL,12.0,0.0,159.0,26.0,56.0,0.464,0.0,1.0,0.0,26.0,55.0,0.473,0.464,12.0,16.0,0.75,12.0,25.0,37.0,10.0,6.0,4.0,13.0,24.0,64.0
2,Alaa Abdelnaby,PF,PF,24.0,BOS,63.0,52.0,1152.0,219.0,417.0,0.525,0.0,0.0,0.0,219.0,417.0,0.525,0.525,76.0,100.0,0.76,114.0,186.0,300.0,17.0,19.0,22.0,84.0,165.0,514.0
3,Mahmoud Abdul-Rauf,PG,PG,23.0,DEN,81.0,81.0,2710.0,633.0,1407.0,0.45,70.0,197.0,0.355,563.0,1210.0,0.465,0.475,217.0,232.0,0.935,51.0,174.0,225.0,344.0,84.0,8.0,187.0,179.0,1553.0
4,Mark Acres,C,C,30.0,TOT,18.0,7.0,269.0,26.0,49.0,0.531,1.0,2.0,0.5,25.0,47.0,0.532,0.541,11.0,16.0,0.688,26.0,41.0,67.0,5.0,3.0,6.0,13.0,34.0,64.0
5,Mark Acres,C,C,30.0,HOU,6.0,0.0,23.0,2.0,9.0,0.222,1.0,2.0,0.5,1.0,7.0,0.143,0.278,1.0,2.0,0.5,2.0,4.0,6.0,0.0,0.0,0.0,2.0,2.0,6.0
6,Mark Acres,C,C,30.0,WSB,12.0,7.0,246.0,24.0,40.0,0.6,0.0,0.0,0.0,24.0,40.0,0.6,0.6,10.0,14.0,0.714,24.0,37.0,61.0,5.0,3.0,6.0,11.0,32.0,58.0
7,Michael Adams,PG,PG,30.0,WSB,70.0,70.0,2499.0,365.0,831.0,0.439,68.0,212.0,0.321,297.0,619.0,0.48,0.48,237.0,277.0,0.856,52.0,188.0,240.0,526.0,100.0,4.0,175.0,146.0,1035.0
8,Rafael Addison,SF,SF,28.0,NJN,68.0,15.0,1164.0,182.0,411.0,0.443,7.0,34.0,0.206,175.0,377.0,0.464,0.451,57.0,70.0,0.814,45.0,87.0,132.0,53.0,23.0,11.0,64.0,125.0,428.0
9,Mark Aguirre,SF,SF,33.0,DET,51.0,15.0,1056.0,187.0,422.0,0.443,30.0,83.0,0.361,157.0,339.0,0.463,0.479,99.0,129.0,0.767,43.0,109.0,152.0,105.0,16.0,7.0,68.0,101.0,503.0
10,Danny Ainge,SG,SG,33.0,PHO,80.0,0.0,2163.0,337.0,730.0,0.462,150.0,372.0,0.403,187.0,358.0,0.522,0.564,123.0,145.0,0.848,49.0,165.0,214.0,260.0,69.0,8.0,113.0,175.0,947.0
11,Victor Alexander,C,C,23.0,GSW,72.0,59.0,1753.0,344.0,667.0,0.516,10.0,22.0,0.455,334.0,645.0,0.518,0.523,111.0,162.0,0.685,132.0,288.0,420.0,93.0,34.0,53.0,120.0,218.0,809.0
12,Eric Anderson,PF,PF,22.0,NYK,16.0,0.0,44.0,5.0,18.0,0.278,0.0,0.0,0.0,5.0,18.0,0.278,0.278,11.0,13.0,0.846,6.0,8.0,14.0,3.0,3.0,1.0,5.0,14.0,21.0
13,Kenny Anderson,PG,PG,22.0,NJN,55.0,55.0,2010.0,370.0,850.0,0.435,7.0,25.0,0.28,363.0,825.0,0.44,0.439,180.0,232.0,0.776,51.0,175.0,226.0,449.0,96.0,11.0,153.0,140.0,927.0
14,Nick Anderson,SG,SG,25.0,ORL,79.0,76.0,2920.0,594.0,1324.0,0.449,88.0,249.0,0.353,506.0,1075.0,0.471,0.482,298.0,402.0,0.741,122.0,355.0,477.0,265.0,128.0,56.0,164.0,200.0,1574.0
15,Ron Anderson,SF,SF,34.0,PHI,69.0,0.0,1263.0,225.0,544.0,0.414,39.0,120.0,0.325,186.0,424.0,0.439,0.449,72.0,89.0,0.809,62.0,122.0,184.0,93.0,31.0,5.0,63.0,75.0,561.0
16,Willie Anderson,SG,SG,26.0,SAS,38.0,7.0,560.0,80.0,186.0,0.43,1.0,8.0,0.125,79.0,178.0,0.444,0.433,22.0,28.0,0.786,7.0,50.0,57.0,79.0,14.0,6.0,44.0,52.0,183.0
17,Greg Anthony,PG,PG,25.0,NYK,70.0,35.0,1699.0,174.0,419.0,0.415,4.0,30.0,0.133,170.0,389.0,0.437,0.42,107.0,159.0,0.673,42.0,128.0,170.0,398.0,113.0,12.0,104.0,141.0,459.0
18,B.J. Armstrong,PG,PG,25.0,CHI,82.0,74.0,2492.0,408.0,818.0,0.499,63.0,139.0,0.453,345.0,679.0,0.508,0.537,130.0,151.0,0.861,27.0,122.0,149.0,330.0,66.0,6.0,83.0,169.0,1009.0
19,Vincent Askew,SG,SG,26.0,TOT,73.0,4.0,1129.0,152.0,309.0,0.492,2.0,6.0,0.333,150.0,303.0,0.495,0.495,105.0,149.0,0.705,62.0,99.0,161.0,122.0,40.0,19.0,69.0,135.0,411.0
20,Vincent Askew,SG,SG,26.0,SAC,9.0,0.0,76.0,8.0,17.0,0.471,0.0,0.0,0.0,8.0,17.0,0.471,0.471,11.0,15.0,0.733,7.0,4.0,11.0,5.0,2.0,1.0,8.0,11.0,27.0
21,Vincent Askew,SG,SG,26.0,SEA,64.0,4.0,1053.0,144.0,292.0,0.493,2.0,6.0,0.333,142.0,286.0,0.497,0.497,94.0,134.0,0.701,55.0,95.0,150.0,117.0,38.0,18.0,61.0,124.0,384.0
