,Player,Pos,BasePos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
0,Alex Abrines,SG,SG,24.0,OKC,75.0,1134.0,9.0,0.567,0.759,0.158,2.5,8.9,5.6,3.4,1.7,0.6,7.4,12.7,0.0,1.3,1.0,2.2,0.094,-1.9,0.4,-1.5,0.1
1,Quincy Acy,PF,PF,27.0,BRK,70.0,1359.0,8.2,0.525,0.8,0.164,3.1,17.1,10.0,6.0,1.2,1.6,13.3,14.4,0.0,-0.1,1.1,1.0,0.036,-2.6,0.1,-2.5,-0.2
2,Steven Adams,C,C,24.0,OKC,76.0,2487.0,20.6,0.63,0.003,0.402,16.6,13.9,15.3,5.5,1.8,2.8,13.3,16.7,0.0,6.7,3.0,9.7,0.187,1.7,-0.6,1.1,2.0
3,Bam Adebayo,C,C,20.0,MIA,69.0,1368.0,15.7,0.57,0.021,0.526,9.7,21.6,15.6,11.0,1.2,2.5,13.6,15.9,0.0,2.3,1.9,4.2,0.148,-1.1,0.7,-0.4,0.6
4,Arron Afflalo,SG,SG,32.0,ORL,53.0,682.0,5.8,0.516,0.432,0.16,0.6,10.1,5.3,6.2,0.3,1.1,10.8,12.5,0.0,-0.1,0.2,0.1,0.009,-3.8,-1.5,-5.4,-0.6
5,Cole Aldrich,C,C,29.0,MIN,21.0,49.0,6.0,0.34,0.0,0.4,7.0,28.6,17.6,8.2,2.0,1.8,5.4,16.8,0.0,-0.1,0.1,0.0,-0.013,-6.8,-0.7,-7.5,-0.1
6,LaMarcus Aldridge,C,C,32.0,SAS,75.0,2509.0,25.0,0.57,0.068,0.296,10.8,17.3,14.0,11.3,0.9,3.0,6.8,29.1,0.0,7.4,3.5,10.9,0.209,4.3,-0.4,3.9,3.7
7,Jarrett Allen,C,C,19.0,BRK,72.0,1441.0,17.5,0.636,0.038,0.37,10.5,18.1,14.3,5.4,0.9,4.6,15.1,16.3,0.0,2.7,1.5,4.2,0.141,-0.9,0.1,-0.8,0.5
8,Kadeem Allen,PG,PG,25.0,BOS,18.0,107.0,2.6,0.366,0.5,0.409,4.1,7.1,5.6,15.2,1.4,1.6,25.7,14.6,0.0,-0.2,0.1,-0.1,-0.038,-8.3,0.6,-7.7,-0.2
9,Tony Allen,SF,SF,36.0,NOP,22.0,273.0,8.7,0.514,0.132,0.231,8.2,10.4,9.3,4.6,1.9,0.9,15.9,18.9,0.0,-0.2,0.2,0.1,0.017,-5.2,-0.3,-5.5,-0.2
10,Al-Farouq Aminu,PF,PF,27.0,POR,69.0,2072.0,12.0,0.522,0.582,0.137,5.2,22.3,13.8,5.8,1.9,1.6,11.3,14.8,0.0,0.9,3.2,4.2,0.097,-0.7,1.1,0.4,1.3
11,Justin Anderson,SF,SF,24.0,PHI,38.0,519.0,13.0,0.54,0.51,0.188,5.4,13.6,9.6,7.1,1.4,1.1,6.8,19.3,0.0,0.6,0.7,1.2,0.115,-0.6,-0.3,-0.9,0.1
12,Kyle Anderson,SF,SF,24.0,SAS,74.0,1978.0,15.9,0.582,0.13,0.333,4.7,17.6,11.1,14.7,2.9,2.5,15.8,13.5,0.0,2.4,3.8,6.2,0.151,-0.4,3.3,2.9,2.4
13,Ryan Anderson,PF,PF,29.0,HOU,66.0,1725.0,12.6,0.592,0.706,0.194,6.2,15.4,10.8,5.1,0.7,1.0,7.5,14.4,0.0,3.1,1.7,4.8,0.132,0.9,-0.8,0.1,0.9
14,Ike Anigbogu,C,C,19.0,IND,11.0,30.0,21.6,0.558,0.0,0.667,19.0,15.0,16.9,0.0,1.7,8.9,14.7,20.3,0.0,0.1,0.0,0.1,0.165,1.8,0.1,1.9,0.0
15,Giannis Antetokounmpo,PF,PF,23.0,MIL,75.0,2756.0,27.3,0.598,0.1,0.457,6.7,25.3,16.0,23.7,2.0,3.3,11.7,31.2,0.0,8.3,3.6,11.9,0.207,5.3,0.9,6.2,5.7
16,Carmelo Anthony,PF,PF,33.0,OKC,78.0,2501.0,12.7,0.503,0.406,0.165,2.9,17.7,10.0,6.5,0.9,1.8,7.3,23.2,0.0,1.2,2.5,3.7,0.071,-0.6,-1.3,-1.9,0.0
17,OG Anunoby,SF,SF,20.0,TOR,74.0,1481.0,10.0,0.587,0.569,0.179,3.4,10.4,7.0,5.0,1.7,0.8,10.8,12.4,0.0,1.4,1.6,3.0,0.098,-1.2,0.6,-0.6,0.5
18,Ryan Arcidiacono,PG,PG,23.0,CHI,24.0,304.0,7.3,0.55,0.756,0.146,0.3,8.8,4.4,15.5,2.1,0.0,23.0,8.1,0.0,0.1,0.2,0.3,0.04,-4.7,0.6,-4.1,-0.2
19,Trevor Ariza,SF,SF,32.0,HOU,67.0,2269.0,11.8,0.567,0.71,0.137,1.7,12.9,7.3,6.8,2.1,0.5,7.0,14.4,0.0,2.6,2.8,5.3,0.113,0.0,0.7,0.7,1.5
21,Darrell Arthur,PF,PF,29.0,DEN,19.0,141.0,8.4,0.559,0.489,0.064,2.4,9.5,6.0,9.3,2.8,1.8,23.7,19.5,0.0,-0.2,0.1,0.0,-0.011,-4.8,-0.5,-5.3,-0.1
22,Jamel Artis,SG,SG,25.0,ORL,15.0,279.0,6.9,0.457,0.367,0.152,1.6,13.5,7.5,9.3,0.4,0.9,8.7,14.5,0.0,-0.1,0.1,0.0,-0.006,-3.8,-1.6,-5.4,-0.2
23,Omer Asik,C,C,31.0,TOT,18.0,182.0,3.1,0.397,0.0,0.591,5.5,22.2,14.0,2.1,0.5,1.9,24.5,8.7,0.0,-0.2,0.2,-0.1,-0.021,-6.5,-1.5,-8.0,-0.3
24,Omer Asik,C,C,31.0,NOP,14.0,121.0,4.5,0.423,0.0,0.75,6.5,26.0,16.6,2.0,0.4,1.3,19.0,9.4,0.0,-0.1,0.1,0.0,0.008,-5.6,-1.4,-7.0,-0.2
25,Omer Asik,C,C,31.0,CHI,4.0,61.0,0.2,0.311,0.0,0.167,3.4,14.6,8.8,2.1,0.8,2.9,38.3,7.4,0.0,-0.1,0.0,-0.1,-0.078,-8.5,-1.5,-10.0,-0.1
26,D.J. Augustin,PG,PG,30.0,ORL,75.0,1760.0,15.4,0.615,0.504,0.35,1.9,8.2,5.0,24.4,1.5,0.0,16.5,18.6,0.0,3.3,0.8,4.1,0.11,1.0,-1.2,-0.2,0.8
27,Luke Babbitt,SF,SF,28.0,TOT,50.0,715.0,9.8,0.576,0.726,0.102,1.1,13.9,7.5,6.5,0.5,0.8,7.8,15.0,0.0,0.5,0.4,0.9,0.06,-0.9,-1.5,-2.4,-0.1
28,Luke Babbitt,SF,SF,28.0,ATL,37.0,570.0,12.0,0.636,0.661,0.131,1.0,14.9,7.9,7.0,0.6,0.8,7.8,14.8,0.0,0.9,0.3,1.1,0.094,0.4,-1.1,-0.7,0.2
