,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Mark Acres,C,27.0,ORL,80.0,50.0,1691.0,138.0,285.0,0.484,3.0,4.0,0.75,135.0,281.0,0.48,0.489,83.0,120.0,0.692,154.0,277.0,431.0,67.0,36.0,25.0,70.0,248.0,362.0
1,Michael Adams,PG,27.0,DEN,79.0,74.0,2690.0,398.0,989.0,0.402,158.0,432.0,0.366,240.0,557.0,0.431,0.482,267.0,314.0,0.85,49.0,176.0,225.0,495.0,121.0,3.0,141.0,133.0,1221.0
2,Mark Aguirre,SF,30.0,DET,78.0,40.0,2005.0,438.0,898.0,0.488,31.0,93.0,0.333,407.0,805.0,0.506,0.505,192.0,254.0,0.756,117.0,188.0,305.0,145.0,34.0,19.0,121.0,201.0,1099.0
3,Danny Ainge,PG,30.0,SAC,75.0,68.0,2727.0,506.0,1154.0,0.438,108.0,289.0,0.374,398.0,865.0,0.46,0.485,222.0,267.0,0.831,69.0,257.0,326.0,453.0,113.0,18.0,185.0,238.0,1342.0
4,Mark Alarie,PF,26.0,WSB,82.0,10.0,1893.0,371.0,785.0,0.473,10.0,49.0,0.204,361.0,736.0,0.49,0.479,108.0,133.0,0.812,151.0,223.0,374.0,142.0,60.0,39.0,101.0,219.0,860.0
5,Steve Alford,PG,25.0,DAL,41.0,0.0,302.0,63.0,138.0,0.457,7.0,22.0,0.318,56.0,116.0,0.483,0.482,35.0,37.0,0.946,2.0,23.0,25.0,39.0,15.0,3.0,16.0,22.0,168.0
6,Randy Allen,SG,25.0,SAC,63.0,6.0,746.0,106.0,239.0,0.444,0.0,7.0,0.0,106.0,232.0,0.457,0.444,23.0,43.0,0.535,49.0,89.0,138.0,23.0,16.0,19.0,28.0,102.0,235.0
7,Greg Anderson,PF,25.0,MIL,60.0,28.0,1291.0,219.0,432.0,0.507,0.0,0.0,0.0,219.0,432.0,0.507,0.507,91.0,170.0,0.535,112.0,261.0,373.0,24.0,32.0,54.0,80.0,176.0,529.0
8,Nick Anderson,SG,22.0,ORL,81.0,9.0,1785.0,372.0,753.0,0.494,1.0,17.0,0.059,371.0,736.0,0.504,0.495,186.0,264.0,0.705,107.0,209.0,316.0,124.0,69.0,34.0,138.0,140.0,931.0
9,Richard Anderson,PF,29.0,CHH,54.0,2.0,604.0,88.0,211.0,0.417,37.0,100.0,0.37,51.0,111.0,0.459,0.505,18.0,23.0,0.783,33.0,94.0,127.0,55.0,20.0,9.0,26.0,64.0,231.0
10,Ron Anderson,SF,31.0,PHI,78.0,3.0,2089.0,379.0,841.0,0.451,3.0,21.0,0.143,376.0,820.0,0.459,0.452,165.0,197.0,0.838,81.0,214.0,295.0,143.0,72.0,13.0,78.0,143.0,926.0
11,Willie Anderson,SG,23.0,SAS,82.0,81.0,2788.0,532.0,1082.0,0.492,7.0,26.0,0.269,525.0,1056.0,0.497,0.495,217.0,290.0,0.748,115.0,257.0,372.0,364.0,111.0,58.0,198.0,252.0,1288.0
12,Michael Ansley,SF,22.0,ORL,72.0,5.0,1221.0,231.0,465.0,0.497,0.0,0.0,0.0,231.0,465.0,0.497,0.497,164.0,227.0,0.722,187.0,175.0,362.0,40.0,24.0,17.0,50.0,152.0,626.0
13,B.J. Armstrong,PG,22.0,CHI,81.0,0.0,1291.0,190.0,392.0,0.485,3.0,6.0,0.5,187.0,386.0,0.484,0.489,69.0,78.0,0.885,19.0,83.0,102.0,199.0,46.0,6.0,83.0,105.0,452.0
14,John Bagley,PG,29.0,BOS,54.0,17.0,1095.0,100.0,218.0,0.459,1.0,18.0,0.056,99.0,200.0,0.495,0.461,29.0,39.0,0.744,26.0,63.0,89.0,296.0,40.0,4.0,90.0,77.0,230.0
15,Thurl Bailey,SF,28.0,UTA,82.0,33.0,2583.0,470.0,977.0,0.481,0.0,8.0,0.0,470.0,969.0,0.485,0.481,222.0,285.0,0.779,116.0,294.0,410.0,137.0,32.0,100.0,139.0,175.0,1162.0
16,Ken Bannister,PF,29.0,LAC,52.0,1.0,589.0,77.0,161.0,0.478,0.0,1.0,0.0,77.0,160.0,0.481,0.478,52.0,110.0,0.473,39.0,73.0,112.0,18.0,17.0,7.0,44.0,92.0,206.0
17,Charles Barkley*,SF,26.0,PHI,79.0,79.0,3085.0,706.0,1177.0,0.6,20.0,92.0,0.217,686.0,1085.0,0.632,0.608,557.0,744.0,0.749,361.0,548.0,909.0,307.0,148.0,50.0,243.0,250.0,1989.0
18,Dana Barros,PG,22.0,SEA,81.0,25.0,1630.0,299.0,738.0,0.405,95.0,238.0,0.399,204.0,500.0,0.408,0.47,89.0,110.0,0.809,35.0,97.0,132.0,205.0,53.0,1.0,123.0,97.0,782.0
