b'Date',b'href',b'Start (ET)',b'Visitor/Neutral',b'PTS',b'Home/Neutral',b'PTS',b'\xc2\xa0',b'\xc2\xa0',b'Attend.',b'Notes'
"Tue, Oct 28, 2003",/boxscores/200310280PHI.html,7:00p,Miami Heat,74,Philadelphia 76ers,89,Box Score,,"18,295",
"Tue, Oct 28, 2003",/boxscores/200310280SAS.html,8:00p,Phoenix Suns,82,San Antonio Spurs,83,Box Score,,"18,797",
"Tue, Oct 28, 2003",/boxscores/200310280LAL.html,10:30p,Dallas Mavericks,93,Los Angeles Lakers,109,Box Score,,"18,997",
"Wed, Oct 29, 2003",/boxscores/200310290BOS.html,7:00p,Miami Heat,75,Boston Celtics,98,Box Score,,"18,624",
"Wed, Oct 29, 2003",/boxscores/200310290NOH.html,8:00p,Atlanta Hawks,83,New Orleans Hornets,88,Box Score,OT,"15,242",
"Wed, Oct 29, 2003",/boxscores/200310290MIN.html,8:00p,Milwaukee Bucks,89,Minnesota Timberwolves,95,Box Score,,"17,784",
"Wed, Oct 29, 2003",/boxscores/200310290TOR.html,8:00p,New Jersey Nets,87,Toronto Raptors,90,Box Score,,"18,217",
"Wed, Oct 29, 2003",/boxscores/200310290DET.html,8:00p,Indiana Pacers,89,Detroit Pistons,87,Box Score,,"22,076",
"Wed, Oct 29, 2003",/boxscores/200310290NYK.html,8:00p,Orlando Magic,85,New York Knicks,83,Box Score,OT,"19,763",
"Wed, Oct 29, 2003",/boxscores/200310290CHI.html,8:30p,Washington Wizards,99,Chicago Bulls,74,Box Score,,"18,127",
"Wed, Oct 29, 2003",/boxscores/200310290UTA.html,9:00p,Portland Trail Blazers,92,Utah Jazz,99,Box Score,,"17,306",
"Wed, Oct 29, 2003",/boxscores/200310290DEN.html,9:00p,San Antonio Spurs,72,Denver Nuggets,80,Box Score,,"17,429",
"Wed, Oct 29, 2003",/boxscores/200310290SAC.html,10:30p,Cleveland Cavaliers,92,Sacramento Kings,106,Box Score,,"17,317",
"Wed, Oct 29, 2003",/boxscores/200310290GSW.html,10:30p,Dallas Mavericks,95,Golden State Warriors,87,Box Score,,"15,816",
"Thu, Oct 30, 2003",/boxscores/200310300SEA.html,5:30a,Los Angeles Clippers,100,Seattle SuperSonics,109,Box Score,,"19,323","at Saitama, Japan"
"Thu, Oct 30, 2003",/boxscores/200310300ORL.html,7:00p,New Orleans Hornets,100,Orlando Magic,98,Box Score,,"15,911",
"Thu, Oct 30, 2003",/boxscores/200310300HOU.html,8:00p,Denver Nuggets,85,Houston Rockets,102,Box Score,,"18,189",
"Thu, Oct 30, 2003",/boxscores/200310300PHO.html,10:30p,Cleveland Cavaliers,86,Phoenix Suns,95,Box Score,,"18,422",
"Fri, Oct 31, 2003",/boxscores/200310310TOR.html,7:00p,Washington Wizards,79,Toronto Raptors,82,Box Score,,"14,183",
"Fri, Oct 31, 2003",/boxscores/200310310IND.html,7:30p,Milwaukee Bucks,93,Indiana Pacers,79,Box Score,,"17,607",
"Fri, Oct 31, 2003",/boxscores/200310310MIA.html,7:30p,Detroit Pistons,93,Miami Heat,81,Box Score,,"15,825",
"Fri, Oct 31, 2003",/boxscores/200310310MEM.html,8:00p,Boston Celtics,93,Memphis Grizzlies,91,Box Score,,"16,178",
"Fri, Oct 31, 2003",/boxscores/200310310NJN.html,8:00p,Minnesota Timberwolves,61,New Jersey Nets,84,Box Score,,"17,145",
"Fri, Oct 31, 2003",/boxscores/200310310CHI.html,8:30p,Atlanta Hawks,94,Chicago Bulls,100,Box Score,,"15,300",
"Fri, Oct 31, 2003",/boxscores/200310310LAC.html,10:00p,Seattle SuperSonics,124,Los Angeles Clippers,105,Box Score,,"19,664","at Saitama, Japan"
"Fri, Oct 31, 2003",/boxscores/200310310SAC.html,10:30p,Philadelphia 76ers,89,Sacramento Kings,100,Box Score,,"17,317",
"Sat, Nov 1, 2003",/boxscores/200311010ATL.html,7:00p,Indiana Pacers,103,Atlanta Hawks,99,Box Score,OT,"18,818",
"Sat, Nov 1, 2003",/boxscores/200311010ORL.html,7:00p,Detroit Pistons,96,Orlando Magic,85,Box Score,,"14,588",
"Sat, Nov 1, 2003",/boxscores/200311010WAS.html,7:00p,New Jersey Nets,98,Washington Wizards,85,Box Score,,"20,173",
"Sat, Nov 1, 2003",/boxscores/200311010MIN.html,8:00p,Toronto Raptors,56,Minnesota Timberwolves,73,Box Score,,"15,869",
"Sat, Nov 1, 2003",/boxscores/200311010NOH.html,8:00p,Boston Celtics,90,New Orleans Hornets,97,Box Score,,"13,392",
