,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
0,Zaid Abdul-Aziz,C,27.0,HOU,79.0,2459.0,15.9,0.516,0.0,0.328,11.4,28.6,20.1,8.9,1.5,2.3,0.0,0.0,0.0,3.3,3.2,6.5,0.126,-1.4,2.4,1.0,1.8
1,Kareem Abdul-Jabbar*,C,26.0,MIL,81.0,3548.0,24.4,0.564,0.0,0.239,8.8,23.9,16.9,16.1,1.4,4.0,0.0,0.0,0.0,10.6,7.9,18.4,0.25,5.9,2.6,8.5,9.4
2,Don Adams,SF,26.0,DET,74.0,2298.0,10.9,0.457,0.0,0.271,6.0,14.1,10.0,8.3,2.2,0.3,0.0,0.0,0.0,0.1,3.5,3.6,0.076,-1.7,0.5,-1.1,0.5
3,Rick Adelman,PG,27.0,CHI,55.0,618.0,10.0,0.447,0.0,0.447,2.6,9.0,5.8,12.4,2.7,0.1,0.0,0.0,0.0,-0.3,0.9,0.7,0.053,-2.8,-0.2,-3.0,-0.2
4,Lucius Allen,PG,26.0,MIL,72.0,2388.0,18.8,0.536,0.0,0.258,4.1,8.1,6.2,21.7,2.6,0.5,0.0,0.0,0.0,4.7,3.4,8.2,0.164,4.1,-0.5,3.6,3.4
5,Tiny Archibald*,PG,25.0,KCO,35.0,1272.0,18.3,0.527,0.0,0.429,1.7,5.3,3.5,30.7,2.0,0.3,0.0,0.0,0.0,1.8,0.5,2.3,0.088,2.5,-1.8,0.6,0.8
6,Dennis Awtrey,C,25.0,CHI,68.0,756.0,11.4,0.56,0.0,0.764,6.6,17.4,11.9,15.2,1.3,1.0,0.0,0.0,0.0,0.2,1.2,1.4,0.091,-0.5,0.8,0.3,0.4
7,Mike Bantom,PF,22.0,PHO,76.0,1982.0,11.7,0.437,0.0,0.271,8.9,17.5,13.3,11.1,1.1,1.2,0.0,0.0,0.0,-0.8,1.3,0.5,0.012,-3.1,0.2,-2.9,-0.5
8,Dick Barnett,SG,37.0,NYK,5.0,58.0,9.4,0.403,0.0,0.115,1.8,5.4,3.6,14.6,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,-4.5,-3.7,-8.2,-0.1
9,Jim Barnett,SG,29.0,GSW,77.0,1689.0,16.4,0.517,0.0,0.299,4.3,8.0,6.2,16.8,1.5,0.3,0.0,0.0,0.0,3.2,1.0,4.1,0.118,1.1,-1.8,-0.7,0.6
10,Rick Barry*,SF,29.0,GSW,80.0,2918.0,22.4,0.515,0.0,0.266,3.4,13.8,8.7,24.7,2.6,0.7,0.0,0.0,0.0,7.1,3.4,10.4,0.172,5.2,0.5,5.6,5.7
11,Butch Beard,PG,26.0,GSW,79.0,2134.0,15.5,0.559,0.0,0.379,6.2,11.0,8.6,17.7,2.2,0.2,0.0,0.0,0.0,3.7,1.9,5.6,0.126,1.8,0.7,2.5,2.4
12,Ron Behagen,PF,23.0,KCO,80.0,2059.0,13.9,0.476,0.0,0.256,9.6,19.3,14.4,9.5,1.2,0.9,0.0,0.0,0.0,0.2,1.8,2.0,0.046,-1.7,-0.4,-2.1,0.0
