,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
0,Tariq Abdul-Wahad,SG,27.0,TOT,24.0,441.0,9.8,0.418,0.014,0.224,10.1,11.6,10.8,8.8,2.4,1.7,14.3,19.1,0.0,-0.3,0.3,0.0,-0.003,-3.4,-0.3,-3.7,-0.2
1,Tariq Abdul-Wahad,SG,27.0,DEN,20.0,417.0,10.3,0.424,0.014,0.221,10.2,11.2,10.7,8.7,2.3,1.6,13.1,19.7,0.0,-0.2,0.3,0.0,0.005,-3.1,-0.5,-3.6,-0.2
2,Tariq Abdul-Wahad,SG,27.0,DAL,4.0,24.0,0.3,0.0,0.0,0.5,9.4,18.2,13.9,10.4,4.3,3.0,55.1,10.2,0.0,-0.1,0.0,-0.1,-0.128,-9.0,2.7,-6.3,0.0
3,Shareef Abdur-Rahim,PF,25.0,ATL,77.0,2980.0,19.8,0.536,0.054,0.403,7.6,19.2,13.3,15.1,1.7,2.0,14.1,27.0,0.0,4.1,3.1,7.2,0.116,1.9,-0.2,1.7,2.8
4,Courtney Alexander,SG,24.0,WAS,56.0,1325.0,13.6,0.521,0.038,0.255,3.7,9.3,6.5,11.3,1.4,0.4,10.2,20.4,0.0,1.6,0.6,2.2,0.08,-0.9,-1.3,-2.2,-0.1
5,Victor Alexander,C,32.0,DET,15.0,97.0,9.2,0.367,0.039,0.157,8.6,26.6,17.6,11.5,0.0,0.7,8.4,28.9,0.0,-0.3,0.1,-0.1,-0.073,-5.3,-3.5,-8.8,-0.2
6,Malik Allen,PF,23.0,MIA,12.0,161.0,15.0,0.469,0.02,0.196,11.0,16.6,13.8,5.5,1.0,3.8,3.5,17.0,0.0,0.2,0.3,0.5,0.141,-1.4,0.3,-1.1,0.0
7,Ray Allen*,SG,26.0,MIL,69.0,2525.0,21.6,0.598,0.46,0.213,3.9,10.1,7.1,19.4,1.9,0.5,11.2,26.2,0.0,7.6,1.3,8.9,0.169,6.0,-1.1,4.9,4.4
8,Rafer Alston,PG,25.0,MIL,50.0,600.0,13.9,0.434,0.372,0.152,2.0,11.4,6.9,36.4,2.8,0.2,16.4,19.0,0.0,0.3,0.5,0.7,0.059,-0.4,-0.3,-0.7,0.2
9,John Amaechi,PF,31.0,UTA,54.0,586.0,5.4,0.412,0.0,0.633,10.6,11.8,11.2,7.8,0.6,1.4,20.6,20.6,0.0,-1.0,0.3,-0.7,-0.056,-5.4,-2.8,-8.2,-0.9
10,Chris Andersen,C,23.0,DEN,24.0,262.0,13.8,0.417,0.054,0.378,15.8,17.4,16.5,4.2,1.4,7.9,13.1,17.0,0.0,0.0,0.3,0.3,0.058,-3.3,0.3,-3.0,-0.1
11,Derek Anderson,SG,27.0,POR,70.0,1860.0,15.5,0.538,0.373,0.34,2.9,9.1,6.0,18.6,2.0,0.3,11.0,19.4,0.0,3.8,1.5,5.3,0.137,1.4,0.2,1.6,1.7
12,Kenny Anderson,PG,31.0,BOS,76.0,2430.0,13.6,0.472,0.046,0.184,2.5,10.1,6.2,28.1,3.0,0.3,13.3,16.7,0.0,1.7,3.5,5.2,0.103,-2.3,1.9,-0.4,1.0
13,Nick Anderson,SG,34.0,MEM,15.0,219.0,4.9,0.375,0.632,0.118,0.5,16.3,8.4,10.2,1.4,1.9,14.9,19.5,0.0,-0.6,0.2,-0.4,-0.08,-5.2,-0.6,-5.9,-0.2
14,Shandon Anderson,SG,28.0,NYK,82.0,1596.0,8.0,0.489,0.378,0.287,4.1,13.9,9.0,7.7,1.6,0.7,18.8,15.1,0.0,-0.9,1.3,0.4,0.013,-3.0,0.3,-2.8,-0.3
15,Greg Anthony,PG,34.0,TOT,60.0,1514.0,12.6,0.46,0.343,0.192,1.7,8.5,5.1,30.8,2.7,0.2,15.4,18.6,0.0,0.2,0.9,1.1,0.036,-1.4,-0.4,-1.9,0.1
16,Greg Anthony,PG,34.0,CHI,36.0,961.0,14.2,0.475,0.314,0.244,1.9,9.0,5.3,35.7,2.7,0.3,15.4,18.0,0.0,0.6,0.6,1.2,0.059,-0.3,-0.2,-0.5,0.4
17,Greg Anthony,PG,34.0,MIL,24.0,553.0,10.0,0.436,0.388,0.112,1.3,7.6,4.6,22.4,2.7,0.1,15.4,19.7,0.0,-0.4,0.3,0.0,-0.004,-3.4,-0.8,-4.2,-0.3
18,Gilbert Arenas,PG,20.0,GSW,47.0,1155.0,17.0,0.562,0.294,0.417,3.7,8.7,6.1,24.8,3.0,0.6,17.6,20.1,0.0,2.1,0.7,2.7,0.114,1.0,0.0,1.0,0.9
19,Brandon Armstrong,SG,21.0,NJN,35.0,196.0,3.8,0.358,0.2,0.118,5.7,3.5,4.6,6.5,1.9,0.4,8.2,22.3,0.0,-0.4,0.2,-0.2,-0.054,-7.2,-1.5,-8.8,-0.3
20,Darrell Armstrong,PG,33.0,ORL,82.0,2730.0,16.7,0.553,0.481,0.248,3.4,9.7,6.5,25.5,3.0,0.3,16.0,17.9,0.0,5.0,2.6,7.6,0.134,1.6,0.8,2.4,3.0
21,Carlos Arroyo,PG,22.0,TOT,37.0,371.0,12.4,0.467,0.018,0.162,3.5,9.0,6.2,31.2,1.6,0.2,16.2,17.2,0.0,0.2,0.1,0.4,0.047,-1.8,-1.1,-2.9,-0.1
22,Carlos Arroyo,PG,22.0,TOR,17.0,96.0,11.9,0.474,0.0,0.207,3.5,11.1,7.2,36.3,3.4,0.0,27.5,20.7,0.0,-0.1,0.1,0.0,0.018,-3.8,0.4,-3.4,0.0
23,Carlos Arroyo,PG,22.0,DEN,20.0,275.0,12.6,0.464,0.024,0.146,3.6,8.3,5.8,29.5,1.0,0.3,11.2,16.0,0.0,0.3,0.0,0.3,0.057,-1.1,-1.6,-2.8,-0.1
24,Chucky Atkins,PG,27.0,DET,79.0,2285.0,14.5,0.568,0.425,0.152,1.6,6.5,4.1,20.5,1.7,0.3,13.2,20.0,0.0,3.3,1.8,5.1,0.107,0.8,-0.6,0.2,1.3
25,Stacey Augmon,SG,33.0,CHH,77.0,1319.0,11.5,0.479,0.009,0.308,5.1,14.3,9.7,12.5,2.3,0.7,12.7,14.8,0.0,0.7,1.6,2.3,0.084,-2.3,1.2,-1.0,0.3
27,Isaac Austin,C,32.0,MEM,21.0,307.0,7.8,0.405,0.033,0.043,4.0,21.8,12.9,7.0,1.5,1.1,10.5,15.5,0.0,-0.3,0.3,0.0,0.003,-5.7,0.3,-5.4,-0.3
28,William Avery,PG,22.0,MIN,28.0,258.0,5.4,0.361,0.389,0.211,1.8,8.8,5.4,19.9,1.4,0.0,16.2,20.6,0.0,-0.5,0.1,-0.4,-0.067,-4.8,-1.5,-6.3,-0.3
29,Dalibor Bagaric,C,21.0,CHI,50.0,638.0,8.6,0.443,0.006,0.393,9.8,20.1,14.8,6.0,1.4,2.8,18.1,18.4,0.0,-0.7,0.6,-0.1,-0.011,-5.7,-1.5,-7.2,-0.8
30,Vin Baker,C,30.0,SEA,55.0,1710.0,14.1,0.517,0.012,0.348,11.8,12.3,12.1,7.0,0.7,1.6,14.5,23.8,0.0,1.3,0.9,2.2,0.061,-1.4,-2.3,-3.7,-0.7
31,Erick Barkley,PG,23.0,POR,19.0,228.0,9.8,0.401,0.103,0.147,2.5,6.8,4.6,22.9,4.0,0.3,14.2,16.9,0.0,-0.1,0.3,0.2,0.044,-4.9,1.9,-3.0,-0.1
32,Dana Barros,PG,34.0,DET,29.0,582.0,10.5,0.473,0.37,0.141,0.2,11.3,5.8,22.5,1.3,0.2,13.9,19.2,0.0,0.0,0.5,0.5,0.04,-2.0,-0.7,-2.7,-0.1
