,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
0,Alaa Abdelnaby,PF,26.0,TOT,54.0,506.0,12.6,0.519,0.009,0.152,8.7,17.4,13.1,5.0,1.5,1.8,15.4,25.6,0.0,-0.4,0.7,0.3,0.027,-4.4,0.1,-4.3,-0.3
1,Alaa Abdelnaby,PF,26.0,SAC,51.0,476.0,14.1,0.54,0.009,0.159,8.5,17.3,13.0,5.3,1.6,1.9,14.5,25.7,0.0,-0.1,0.7,0.6,0.058,-3.6,0.5,-3.1,-0.1
2,Alaa Abdelnaby,PF,26.0,PHI,3.0,30.0,-12.5,0.091,0.0,0.0,11.6,19.6,15.5,0.0,0.0,0.0,31.3,23.8,0.0,-0.3,0.0,-0.3,-0.466,-17.6,-7.3,-24.9,-0.2
3,Mahmoud Abdul-Rauf,PG,25.0,DEN,73.0,2082.0,17.8,0.543,0.214,0.155,1.9,5.9,3.9,23.0,1.9,0.3,10.0,25.8,0.0,3.8,1.3,5.0,0.115,2.3,-1.2,1.2,1.7
4,Michael Adams,PG,32.0,CHH,29.0,443.0,17.7,0.583,0.547,0.203,1.7,5.9,3.9,34.6,2.7,0.2,13.9,19.6,0.0,1.1,0.5,1.6,0.169,2.5,0.8,3.3,0.6
5,Rafael Addison,SF,30.0,DET,79.0,1776.0,11.3,0.521,0.142,0.169,4.4,11.6,8.0,9.9,1.5,1.0,10.8,17.8,0.0,0.9,0.6,1.5,0.04,-2.2,-1.0,-3.3,-0.6
6,Danny Ainge,SG,35.0,PHO,74.0,1374.0,14.3,0.596,0.507,0.308,2.1,7.0,4.6,21.7,1.7,0.4,14.2,17.6,0.0,2.8,0.6,3.4,0.118,0.9,-0.4,0.4,0.8
7,Victor Alexander,C,25.0,GSW,50.0,1237.0,12.8,0.53,0.056,0.134,7.7,18.4,13.0,7.8,1.1,1.6,13.8,18.8,0.0,0.3,0.8,1.1,0.044,-2.2,-0.7,-2.9,-0.3
8,Derrick Alston,C,22.0,PHI,64.0,1032.0,11.6,0.481,0.016,0.465,11.0,13.8,12.4,5.1,2.0,2.5,14.6,15.7,0.0,0.0,1.0,1.0,0.045,-2.5,-0.1,-2.6,-0.2
9,Greg Anderson,PF,30.0,ATL,51.0,622.0,12.6,0.547,0.0,0.683,11.3,24.2,17.6,4.1,2.0,3.9,19.1,12.2,0.0,0.3,1.3,1.5,0.118,-3.9,1.7,-2.2,0.0
10,Kenny Anderson,PG,24.0,NJN,72.0,2689.0,18.0,0.522,0.285,0.402,3.0,7.2,5.1,43.1,2.0,0.4,15.6,23.5,0.0,4.8,2.0,6.8,0.122,3.0,-0.7,2.2,2.8
11,Nick Anderson,SG,27.0,ORL,76.0,2588.0,17.5,0.593,0.467,0.22,3.9,10.7,7.4,17.4,2.4,0.6,12.2,19.1,0.0,5.7,2.6,8.3,0.154,3.4,0.7,4.0,3.9
12,Willie Anderson,SG,28.0,SAS,38.0,556.0,10.3,0.514,0.117,0.253,3.2,7.8,5.6,13.8,2.4,1.2,17.4,17.3,0.0,0.0,0.7,0.7,0.061,-2.8,1.7,-1.1,0.1
13,Greg Anthony,PG,27.0,NYK,61.0,943.0,15.0,0.57,0.529,0.259,0.9,6.8,4.0,27.4,2.8,0.6,14.9,18.6,0.0,1.5,1.4,2.9,0.147,0.9,1.7,2.5,1.1
14,B.J. Armstrong,PG,27.0,CHI,82.0,2577.0,15.1,0.577,0.283,0.261,1.1,7.4,4.3,14.7,1.7,0.2,9.4,19.0,0.0,5.4,2.8,8.1,0.152,1.0,-0.1,1.0,1.9
15,Darrell Armstrong,PG,26.0,ORL,3.0,8.0,40.2,0.563,0.75,0.25,14.8,0.0,7.2,76.1,6.3,0.0,10.1,53.0,0.0,0.1,0.0,0.1,0.492,13.9,3.7,17.6,0.0
16,Vincent Askew,SG,28.0,SEA,71.0,1721.0,13.6,0.577,0.187,0.472,4.6,7.9,6.2,14.8,1.4,0.6,12.3,17.4,0.0,3.3,1.3,4.6,0.128,0.4,-0.5,-0.1,0.8
17,Keith Askins,SF,27.0,MIA,50.0,854.0,12.3,0.493,0.377,0.275,11.6,15.7,13.6,6.5,2.1,1.5,9.7,13.3,0.0,1.0,0.9,1.9,0.107,-0.5,0.4,-0.1,0.4
18,Stacey Augmon,SG,26.0,ATL,76.0,2362.0,16.0,0.512,0.03,0.395,7.6,10.7,9.1,14.3,2.3,1.5,12.9,22.7,0.0,1.9,3.2,5.1,0.103,0.1,0.6,0.7,1.6
19,Anthony Avent,PF,25.0,ORL,71.0,1066.0,9.8,0.466,0.0,0.307,10.7,20.4,15.7,5.0,1.3,3.2,16.1,13.3,0.0,0.1,1.5,1.5,0.069,-4.1,0.1,-4.0,-0.5
20,Vin Baker,PF,23.0,MIL,82.0,3361.0,16.6,0.511,0.02,0.352,10.0,20.6,15.1,15.1,1.3,2.6,13.5,21.6,0.0,2.7,3.1,5.8,0.083,0.2,-0.1,0.2,1.8
21,Charles Barkley*,PF,31.0,PHO,68.0,2382.0,25.2,0.572,0.192,0.444,9.8,26.8,18.2,18.9,2.3,1.4,9.9,27.5,0.0,7.4,3.3,10.6,0.214,5.6,0.7,6.3,5.0
23,Dana Barros,PG,27.0,PHI,82.0,3318.0,20.9,0.632,0.365,0.331,0.9,8.7,4.8,32.6,2.4,0.1,15.3,21.2,0.0,10.5,2.2,12.7,0.183,4.7,0.2,5.0,5.8
24,Jon Barry,SG,25.0,MIL,52.0,602.0,12.6,0.564,0.358,0.597,2.9,7.0,4.9,21.2,2.6,0.5,19.5,15.5,0.0,0.7,0.4,1.1,0.084,-1.1,0.6,-0.6,0.2
25,John Battle,SG,32.0,CLE,28.0,280.0,10.8,0.462,0.272,0.228,1.3,3.7,2.5,24.6,1.6,0.3,11.9,24.4,0.0,0.0,0.3,0.2,0.038,-2.3,-1.1,-3.4,-0.1
26,Sergei Bazarevich,PG,29.0,ATL,10.0,74.0,13.6,0.578,0.273,0.409,1.5,9.7,5.5,31.4,0.7,1.0,21.2,20.2,0.0,0.1,0.1,0.2,0.101,-1.3,-0.3,-1.6,0.0
27,Benoit Benjamin,C,30.0,NJN,61.0,1598.0,13.9,0.555,0.0,0.33,6.4,23.7,15.1,4.2,0.7,2.8,17.1,20.1,0.0,0.1,2.1,2.2,0.066,-2.6,-0.2,-2.8,-0.3
28,Elmer Bennett,PG,24.0,CLE,4.0,18.0,32.5,0.588,0.182,0.364,0.0,7.2,3.5,46.5,12.6,0.0,19.0,42.0,0.0,0.0,0.1,0.1,0.206,2.0,12.4,14.3,0.1
29,Tony Bennett,PG,25.0,CHH,3.0,46.0,5.2,0.538,0.692,0.0,0.0,4.9,2.6,13.6,0.0,0.0,18.8,16.1,0.0,0.0,0.0,0.0,-0.006,-5.1,-1.9,-7.0,-0.1
30,David Benoit,SF,26.0,UTA,71.0,1841.0,13.9,0.564,0.196,0.267,6.9,17.6,12.5,4.7,1.3,2.1,10.3,18.0,0.0,2.3,2.4,4.6,0.121,-0.1,-0.3,-0.4,0.8
31,James Blackwell,PG,26.0,TOT,13.0,80.0,11.6,0.628,0.0,0.231,2.8,13.0,8.0,20.0,2.6,0.0,25.9,10.6,0.0,0.1,0.1,0.2,0.091,-1.8,2.5,0.7,0.1
32,James Blackwell,PG,26.0,CHH,4.0,19.0,14.2,0.667,0.0,0.0,0.0,17.9,9.3,39.6,2.8,0.0,40.0,12.2,0.0,0.0,0.0,0.0,0.104,-1.6,2.9,1.3,0.0
33,James Blackwell,PG,26.0,BOS,9.0,61.0,10.8,0.618,0.0,0.3,3.7,11.5,7.6,14.0,2.5,0.0,20.9,10.2,0.0,0.1,0.0,0.1,0.087,-1.9,2.4,0.5,0.0
34,Mookie Blaylock,PG,27.0,ATL,80.0,3069.0,19.2,0.531,0.463,0.179,4.3,10.7,7.5,34.2,3.5,0.6,15.8,22.7,0.0,4.6,4.8,9.4,0.147,3.5,1.5,5.1,5.4
35,Corie Blount,PF,26.0,CHI,68.0,889.0,11.7,0.497,0.01,0.319,14.2,17.6,15.9,9.8,1.5,2.8,19.8,14.9,0.0,0.3,1.5,1.7,0.094,-3.0,0.6,-2.4,-0.1
36,Muggsy Bogues,PG,30.0,CHH,78.0,2629.0,16.9,0.533,0.041,0.247,2.4,8.9,5.8,40.3,2.1,0.0,14.0,16.6,0.0,5.8,2.8,8.6,0.157,1.2,0.3,1.5,2.3
37,Manute Bol,C,32.0,GSW,5.0,81.0,9.5,0.75,0.5,0.0,1.4,15.2,8.2,0.0,0.0,7.6,9.1,5.7,0.0,0.1,0.1,0.1,0.083,-1.4,2.4,0.9,0.1
38,Walter Bond,SG,25.0,TOT,23.0,290.0,10.3,0.577,0.488,0.238,3.6,9.8,6.8,12.1,1.1,1.1,15.5,17.1,0.0,0.2,0.2,0.4,0.072,-1.0,-0.4,-1.5,0.0
39,Walter Bond,SG,25.0,DET,5.0,51.0,3.0,0.363,0.333,0.333,2.3,9.2,5.7,19.2,1.0,0.0,17.9,14.7,0.0,-0.1,0.0,-0.1,-0.063,-6.9,-1.4,-8.2,-0.1
40,Walter Bond,SG,25.0,UTA,18.0,239.0,11.8,0.614,0.514,0.222,3.9,9.9,7.1,10.6,1.1,1.4,15.0,17.7,0.0,0.3,0.2,0.5,0.101,0.2,-0.2,0.0,0.1
41,Anthony Bonner,PF,26.0,NYK,58.0,1126.0,9.4,0.497,0.026,0.347,12.2,15.0,13.7,10.5,2.2,1.5,26.2,12.3,0.0,-0.2,2.0,1.8,0.079,-3.5,2.0,-1.6,0.1
42,Anthony Bowie,SG,31.0,ORL,77.0,1261.0,11.7,0.532,0.108,0.198,5.1,7.5,6.3,17.3,1.9,1.1,17.7,16.6,0.0,1.0,1.0,2.0,0.077,-1.8,-0.1,-1.9,0.0
