,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1.0,PHI,Ben Simmons,LSU,3.0,217.0,7449.0,3553.0,1800.0,1726.0,0.56,0.083,0.593,34.3,16.4,8.3,8.0,24.4,0.157,3.9,11.2
2,2.0,LAL,Brandon Ingram,Duke,4.0,252.0,8118.0,4116.0,1277.0,809.0,0.459,0.36,0.722,32.2,16.3,5.1,3.2,9.6,0.057,-1.4,1.1
3,3.0,BOS,Jaylen Brown,California,4.0,279.0,7340.0,3655.0,1243.0,396.0,0.468,0.371,0.678,26.3,13.1,4.5,1.4,13.9,0.091,-1.2,1.6
4,4.0,PHO,Dragan Bender,,4.0,187.0,3755.0,1014.0,720.0,237.0,0.399,0.323,0.654,20.1,5.4,3.9,1.3,0.5,0.006,-4.0,-1.9
5,5.0,MIN,Kris Dunn,Providence,4.0,227.0,5516.0,1884.0,760.0,948.0,0.422,0.306,0.726,24.3,8.3,3.3,4.2,3.9,0.034,-1.8,0.2
6,6.0,NOP,Buddy Hield,Oklahoma,4.0,316.0,8743.0,5022.0,1316.0,694.0,0.441,0.411,0.866,27.7,15.9,4.2,2.2,13.0,0.071,0.7,5.9
7,7.0,DEN,Jamal Murray,Kentucky,4.0,297.0,8680.0,4621.0,1064.0,1091.0,0.439,0.358,0.88,29.2,15.6,3.6,3.7,16.2,0.09,-0.1,4.3
8,8.0,SAC,Marquese Chriss,Washington,4.0,256.0,4965.0,2039.0,1250.0,279.0,0.456,0.29,0.669,19.4,8.0,4.9,1.1,5.7,0.055,-2.3,-0.3
9,9.0,TOR,Jakob Pöltl,Utah,4.0,279.0,4594.0,1527.0,1343.0,278.0,0.638,0.5,0.536,16.5,5.5,4.8,1.0,16.3,0.17,0.9,3.4
10,10.0,MIL,Thon Maker,,4.0,255.0,3548.0,1186.0,708.0,157.0,0.433,0.329,0.673,13.9,4.7,2.8,0.6,6.3,0.086,-2.2,-0.2
11,11.0,ORL,Domantas Sabonis,Gonzaga,4.0,291.0,7439.0,3530.0,2321.0,755.0,0.522,0.321,0.722,25.6,12.1,8.0,2.6,20.6,0.133,0.5,4.6
12,12.0,UTA,Taurean Waller-Prince,Baylor,4.0,260.0,6854.0,3008.0,1126.0,503.0,0.412,0.366,0.818,26.4,11.6,4.3,1.9,5.1,0.036,-1.9,0.2
13,13.0,PHO,Georgios Papagiannis,,2.0,39.0,477.0,160.0,123.0,29.0,0.514,0.0,0.857,12.2,4.1,3.2,0.7,0.4,0.044,-3.9,-0.2
14,14.0,CHI,Denzel Valentine,Michigan State,3.0,170.0,3559.0,1320.0,618.0,350.0,0.401,0.366,0.753,20.9,7.8,3.6,2.1,3.6,0.048,-1.6,0.4
15,15.0,DEN,Juan Hernangómez,,4.0,205.0,3310.0,1083.0,703.0,136.0,0.428,0.359,0.722,16.1,5.3,3.4,0.7,6.1,0.088,-1.6,0.3
16,16.0,BOS,Guerschon Yabusele,,2.0,74.0,486.0,173.0,105.0,31.0,0.442,0.323,0.682,6.6,2.3,1.4,0.4,1.1,0.105,-1.9,0.0
17,17.0,MEM,Wade Baldwin,Vanderbilt,3.0,56.0,579.0,174.0,69.0,78.0,0.355,0.25,0.776,10.3,3.1,1.2,1.4,-0.3,-0.028,-5.3,-0.5
18,18.0,DET,Henry Ellenson,Marquette,4.0,81.0,749.0,327.0,194.0,44.0,0.372,0.343,0.774,9.2,4.0,2.4,0.5,0.3,0.018,-3.8,-0.3
19,19.0,DEN,Malik Beasley,Florida State,4.0,220.0,3836.0,1811.0,436.0,214.0,0.448,0.388,0.8,17.4,8.2,2.0,1.0,6.3,0.078,-1.2,0.8
20,20.0,IND,Caris LeVert,Michigan,4.0,213.0,5494.0,2715.0,788.0,764.0,0.433,0.339,0.708,25.8,12.7,3.7,3.6,7.3,0.064,-0.5,2.0
21,21.0,ATL,DeAndre' Bembry,Saint Joseph's,4.0,189.0,3672.0,1173.0,641.0,360.0,0.448,0.269,0.592,19.4,6.2,3.4,1.9,1.0,0.013,-2.8,-0.8
22,22.0,CHO,Malachi Richardson,Syracuse,3.0,70.0,625.0,198.0,70.0,24.0,0.358,0.301,0.783,8.9,2.8,1.0,0.3,-0.1,-0.009,-6.1,-0.7
23,23.0,BOS,Ante Žižić,,3.0,113.0,1517.0,674.0,446.0,64.0,0.581,0.0,0.711,13.4,6.0,3.9,0.6,3.5,0.11,-2.6,-0.2
